,Title,Location,Company,Salary,Describtion,Requirements,Rating
54,Full Stack Web Developer (Javascript HTML CSS) Intern for Ed...,"New York, NY",Smart Course,$12 - $14 an hour,"Our goals moving forward would be to continue partnering with organizations, influencers, or professionals that speak to parents of kids with ADHD and market…",NaN,NaN
55,Software Engineer Intern,"Berkeley, CA",Anyscale,NaN,"Develop high quality software to empower software developers and simplify programming.By exposing the right metrics and visualizations, providing high levels…",NaN,NaN
56,2020 Intern - ERP Software Development Engineer - El Segundo...,"El Segundo, CA",Northrop Grumman,NaN,Perform software engineering duties including documentation and managing the end to end life cycle of software development.Citizenship is a pre-requisite).,NaN,4.0
57,Software Development Intern (Full-Stack),"Boston, MA",Zippity,NaN,"Instead, we bring our custom, 4-season mobile service garages to our customers’ workplaces or homes and help them with everything from basic oil changes to…",NaN,NaN
58,Intern Software Engineer (Summer 2020),"Pleasanton, CA 94588",Veeva Systems,NaN,"Contribute to technical and functional design decisions, troubleshoot and provide technical product support, and be responsible for all aspects of the software…",NaN,4.0
59,Software Engineer Intern,"Orlando, FL",Electronic Arts,NaN,"Must be available for a full-time paid internship between September and December 2020 in Orlando, FL - USA**.",NaN,3.8
60,"Software Engineer, Intern (Winter or Summer)/Co-op","San Francisco, CA",Rimeto,NaN,"Demonstrated software engineering experience from coursework, previous internship, research/work experience, coding competitions, publications, or personal…",NaN,NaN
61,Intern-Software Engineer,"Bohemia, NY","North Atlantic Industries, Inc",NaN,"Develop application and software libraries to support NAI board products for Windows, Linux and VxWorks operating systems.",NaN,3.7
62,Software Engineer Summer Intern - Undergrad,"San Francisco, CA 94102 (Downtown area)",Proofpoint,NaN,"You’ll get to gain experience in testing software through building software.We work in close collaboration with developers, product management, and customer…",NaN,3.9
63,Software Engineering Intern,NaN,IEM Corporation,$14 - $16 an hour,"For the summer we are seeking an intern who can contribute to our software engineering department, specifically in Machine Vision, Artificial Intelligence, Deep…",NaN,NaN
64,2020 Software Engineer Intern,NaN,Bloomberg,NaN,"Engineering interns take ownership of their projects under the mentorship of full-time software engineers.In addition to your projects, you'll participate in…",NaN,3.9
65,2020 Summer Intern: Jr. Software Developer,NaN,SPECTRUM,NaN,"Jr. Software Developer will write software in Java, Python or preferred assembly language.The Jr. software developer will be introduced into the SDLC (…",NaN,3.4
66,IT Internship,NaN,ampliFI Loyalty Solutions,$20 an hour,Pair with team members on ongoing projects.Gain cross-functional skills while learning from subject matter experts (SME's).Able to apply classroom theory.,Bachelor's,NaN
67,Backend Engineer Intern,NaN,Shealth Startup,NaN,"Design & develop best of the breed backend services to power our mobile applications.Work closely with the product manager, mobile developers, and designer.",NaN,NaN
